GoldID, QID,Name,contributed,Defining formula seeded,# FC vars,Has part or calculated from?,,,,
310,Q11376,acceleration,-,\mathbf{a} = \frac{\mathrm{d} \mathbf{v}}{\mathrm{d} t},18,cf,,,,
311,Q186300,angular acceleration,-,\boldsymbol{\alpha} = \frac{\mathrm{d} \boldsymbol{\omega}}{\mathrm{d} t},3,cf,,,,
312,Q834020,angular frequency,-,\omega = 2 \pi f,4,cf,,,,
313,Q161254,angular momentum,-,\mathbf{L} = \mathbf{r} \times \mathbf{p},4,cf,,,,
314,Q161635,angular velocity,-,\boldsymbol{\omega} = \frac{\mathrm{d} \varphi}{\mathrm{d} t} \mathbf{u},8,cf,,,,
315,Q2945123,center of mass,p,\sum_{i=1}^n m_i(\mathbf{r}_i - \mathbf{R}) = 0,2,hp,,,,
316,Q2248131,centripetal acceleration,f/p,a_c = \frac {v^2} {r},1,hp,,,,
317,Q172881,centripetal force,f/p,\vec{F} = - \frac{mv^2 \hat{r}}{r},2,hp,,,,
318,Q843905,circumference,p,C=\pi\cdot{d}=2\pi\cdot{r},1,hp,,,,
319,Q11382,conservation of energy,f/p,E_{tot,1} = E_{tot,2},2,hp,,
320,Q2305665,conservation of momentum,f/p,p_{tot,1} = p_{tot,2},2,hp,,
321,Q1127660,damping,f/p,\zeta = \frac{c}{2\sqrt{mk}},1,hp,,,,
322,Q272621,Dirac equation,p,i\hbar\frac{\partial \Psi}{\partial t} = (c\hat \boldsymbol \alpha \cdot \hat \boldsymbol p + mc^2\hat \beta)\Psi,1,hp,,,,
323,Q16853908,Dirac equation in curved spacetime,p,i\gamma^a e_a^\mu D_\mu \Psi - m \Psi = 0,1,hp,,,,
324,Q891408,elastic energy,p,U = \frac{1}{2}k \Delta x^2,1,hp,,,,
325,Q849919,electromagnetic force,f/p,\vec{F} = q(\vec{E} + \vec{v} \times \vec{B}),2,hp,,,,
326,Q103438301,electrostatic force,i/f/p,\vec{F}_e = \frac{q_1 q_2}{4 \pi \epsilon_{0} r^2} \hat{r},1,hp,,,,
327,Q103439852,energy-momentum relation,i/f/p,E^2 = p^2c^2 + m^2c^4,2,hp,,,,
328,Q166530,escape velocity,i/f/p,v_{\text{e}} = \sqrt{\frac{2GM}{r}} = \sqrt{2gr},1,hp,,,,
329,Q875744,Euler-Lagrange equation,p,\frac{\mathrm{d}}{\mathrm{d} t}\left(\frac{\partial L}{\partial \dot{q}_{j}}\right)=\frac{\partial L}{\partial q_{j}},2,hp,,,,
330,Q11402,force,-,\mathbf{F} = \frac{\mathrm{d} \mathbf{p}}{\mathrm{d} t},12,cf,,,,
