GoldID	Name	Formula	(Score,Rank)	DCG	nDCG
310	acceleration	\mathbf{F}=m\mathbf{g}			
310	acceleration	g=-G\cdot M/r^{2}+\omega^{2}\cdot r			
310	acceleration	\mathbf{\bar{a}}=\frac{\Delta\mathbf{v}}{\Delta t}.			
310	acceleration	a\equiv\dot{v}=\dot{\beta}c			
310	acceleration	\boldsymbol{a}_{C}=-2\boldsymbol{\Omega\times v}=2\,\omega\,\begin{pmatrix}-v_%{u}\\0\\v_{e}\end{pmatrix}\ .			
310	acceleration	=2\omega v\left(\sin\alpha,\ -\cos\alpha\right)\ .			
310	acceleration	\therefore v^{2}=v_{0}^{2}+2(\mathbf{a}\cdot(\mathbf{r}-\mathbf{r}_{0}))			
310	acceleration	\vec{F}=m\vec{a}.			
310	acceleration	\frac{d(r^{2}\dot{\theta})}{dt}=r(2\dot{r}\dot{\theta}+r\ddot{\theta})=ra_{%\theta}=0.			
310	acceleration	\mathbf{\ddot{r}}_{\text{Earth}}=Gm_{\text{Sun}}r_{\text{Earth},\text{Sun}}^{-%2}\hat{\mathbf{r}}_{\text{Earth},\text{Sun}}			
310	acceleration	\frac{d^{2}}{d\theta^{2}}\left(\frac{1}{\mathbf{r}}\right)+\frac{1}{\mathbf{r}%}=-\frac{\mu\mathbf{r}^{2}}{\mathbf{l}^{2}}\mathbf{F}(\mathbf{r})			
310	acceleration	\mathbf{F}=m\,\frac{\mathrm{d}\mathbf{v}}{\mathrm{d}t}=m\mathbf{a},			
310	acceleration	\mathbf{v}=\int\mathbf{a}\ dt			
310	acceleration	\mathbf{a}=\frac{d\mathbf{v}}{dt}=\frac{d^{2}\mathbf{x}}{dt^{2}}			
310	acceleration	\mathbf{F}=m\mathbf{a}\quad\to\quad\mathbf{a}=\mathbf{F}/m			
310	acceleration	\mathbf{u}_{\mathrm{t}}=\frac{\mathbf{v}(t)}{v(t)}\ ,			
310	acceleration	\textrm{a}={{v^{2}}\over{r}}			
310	acceleration	\mathbf{a}={-\omega^{2}}\mathbf{r}			
310	acceleration	a=r\alpha.			
310	acceleration	z=c\;T\;\log(P_{o}/P),			
310	acceleration	{\alpha}=\frac{\tau}{I}.			
310	acceleration	\boldsymbol{\tau}=I\boldsymbol{\alpha},			
310	acceleration	\frac{v^{2}}{2}+gz+\left(\frac{\gamma}{\gamma-1}\right)\frac{p}{\rho}=\text{constant}			
310	acceleration	\Delta E_{1}=\left[\frac{1}{2}\rho_{1}v_{1}^{2}+\Psi_{1}\rho_{1}+\epsilon_{1}%\rho_{1}+p_{1}\right]A_{1}v_{1}\,\Delta t			
310	acceleration	\frac{dy}{dx}=\tan\varphi=\frac{\lambda_{0}gp}{T_{0}},\ T=\sqrt{T_{0}^{2}+%\lambda_{0}^{2}g^{2}p^{2}},\,			
310	acceleration	\frac{d\mathbf{T}}{ds}+\mathbf{G}=\mathbf{0}.\,			
