GoldID	Name	Formula	(Score,Rank)	DCG	nDCG
310	acceleration	\mathbf{F}=m\mathbf{g}			
311	angular acceleration	n=1			
312	angular frequency	n=1			
313	angular momentum	n=1			
314	angular velocity	\mathbf{V}_{i}=\mathbf{V}+\boldsymbol{\omega}\times\mathbf{r}_{i}			
315	center of mass	\ v_{\bar{x}}=\ v_{\bar{x}}^{\prime}			
316	centripetal acceleration	\mathbf{F}=m\mathbf{g}			
317	centripetal force	N=mg\,			
318	circumference	V=\frac{1}{3}h(x_{1}^{2}+x_{1}x_{2}+x_{2}^{2}).			
319	conservation of energy	n=1			
320	conservation of momentum	E=\frac{p^{2}}{2m}			
321	damping	\zeta=\frac{1}{2\sqrt{K_{p}K_{v}RC}}			
322	dirac equation	Ax+By=C,\,			
323	dirac equation in curved spacetime	Ax+By=C,\,			
324	elastic energy	n=1			
325	electromagnetic force	N=mg\,			
326	electrostatic force	U=-\frac{GMm}{r},			
327	energy-momentum relation	x=\frac{X}{Z}			
328	escape velocity	v_{0}=\sqrt{\frac{2GM}{r_{0}}}.			
329	euler-lagrange equation	Ax+By=C,\,			
330	force	N=mg\,			
333	free fall	\mathbf{D}=\varepsilon_{0}\mathbf{E},\quad\mathbf{H}=\frac{1}{\mu_{0}}\mathbf{B}			
334	frequency	t=0			
335	friction	N=mg\,			
336	galilean transformation	\hat{w}_{i}=R_{i}^{j}w_{j}.			
337	generalized momentum	\frac{d}{dt}\left(\frac{\partial\mathcal{L}}{\partial\dot{q}_{j}}\right)-\frac%{\partial\mathcal{L}}{\partial q_{j}}=0\,.			
338	gravitational acceleration	U=0			
339	gravitational force	U=0			
340	gravitational potential	U=0			
341	hamiltonian operator	\textstyle\rho=|i\rang\lang i|			
342	hamilton-jacobi equation	Ax+By=C,\,			
343	hooke's law	P_{\text{estimated}}=\frac{\frac{1}{SU}-1}{\frac{1}{NP}-1}			
344	jerk	J\left(\overset{...}{x},\ddot{x},\dot{x},x\right)=0			
345	kinetic energy	U=k{x}^{2}/2.			
346	lagrangian operator	L=\frac{m}{2}\mathbf{\dot{r}}\cdot\mathbf{\dot{r}}+q\mathbf{A}\cdot\mathbf{%\dot{r}}-q\phi			
347	lorentz factor	\text{percentage improvement}=\left(1-\frac{1}{\text{speedup factor}}\right)%\cdot 100			
348	lorentz force	N=mg\,			
349	lorentz transformation	A^{\mu}=\frac{dU^{\mu}}{d\tau}\,.			
350	mass-energy equivalence	[a]:=\{x\in X\mid a\sim x\}			
351	mechanical impedance	IMA=\frac{F_{out}}{F_{in}}=\frac{v_{in}}{v_{out}}.			
352	moment of inertia	L=I\omega.			
353	momentum	E=\frac{p^{2}}{2m}			
354	newton's second law of motion	\scriptstyle{\vec{F}=m\vec{a}}			
355	newton's third law of motion	\scriptstyle{\vec{F}=m\vec{a}}			
356	oscillation	\omega_{f}(x_{0})=0.			
357	pendulum	L=\frac{I}{mR}			
358	power	\text{SWR}=\frac{1+\sqrt{P_{r}/P_{f}}}{1-\sqrt{P_{r}/P_{f}}}			
359	radial velocity	\mathbf{V}_{i}=\mathbf{V}+\boldsymbol{\omega}\times\mathbf{r}_{i}			
360	rest energy	n=1			
361	rest mass	\gamma=\frac{1}{\sqrt{1-v^{2}/c^{2}}}			
362	rossby number	n=1			
363	speed	HM=\frac{1}{\frac{1}{n}\sum_{i=1}^{n}\frac{1}{a_{i}}}=\frac{n}{\frac{1}{a_{1}}%+\frac{1}{a_{2}}+\cdots+\frac{1}{a_{n}}}			
364	speed of light	A_{\lambda}=-\log\mathcal{T}.			
365	sphere	r_{1}.r_{2}=r_{0}^{2}			
366	spherical pendulum	L=\frac{I}{mR}			
367	stokes' law	P_{\text{estimated}}=\frac{\frac{1}{SU}-1}{\frac{1}{NP}-1}			
368	stress	p_{e}=0.5\,\operatorname{erfc}\left(\sqrt{\frac{E}{N_{o}}}\right).			
369	tangential acceleration	\mathbf{F}=m\mathbf{g}			
370	tangential velocity	\mathbf{V}_{i}=\mathbf{V}+\boldsymbol{\omega}\times\mathbf{r}_{i}			
371	torque	E=\tau\theta			
372	uniform motion	-mg\ell\theta=I\alpha			
373	velocity	\mathbf{V}_{i}=\mathbf{V}+\boldsymbol{\omega}\times\mathbf{r}_{i}			
374	wavenumber	p=\hbar k			
375	work	dV=0			
