GoldID	Score	Name	Formula	(Score,Rank)	DCG	nDCG
310	1	acceleration	\mathbf{F}=m\mathbf{g}			
310	1	acceleration	g=-G\cdot M/r^{2}+\omega^{2}\cdot r			
310	2	acceleration	\mathbf{\bar{a}}=\frac{\Delta\mathbf{v}}{\Delta t}.			
310	2	acceleration	a\equiv\dot{v}=\dot{\beta}c			
310	0	acceleration	\boldsymbol{a}_{C}=-2\boldsymbol{\Omega\times v}=2\,\omega\,\begin{pmatrix}-v_%{u}\\0\\v_{e}\end{pmatrix}\ .			
310	0	acceleration	Fehler:501			
310	0	acceleration	\therefore v^{2}=v_{0}^{2}+2(\mathbf{a}\cdot(\mathbf{r}-\mathbf{r}_{0}))			
310	1	acceleration	\vec{F}=m\vec{a}.			
310	0	acceleration	\frac{d(r^{2}\dot{\theta})}{dt}=r(2\dot{r}\dot{\theta}+r\ddot{\theta})=ra_{%\theta}=0.			
310	0	acceleration	\mathbf{\ddot{r}}_{\text{Earth}}=Gm_{\text{Sun}}r_{\text{Earth},\text{Sun}}^{-%2}\hat{\mathbf{r}}_{\text{Earth},\text{Sun}}			
311	0	angular acceleration	n=1			
311	0	angular acceleration	\mathbf{V}_{i}=\mathbf{V}+\boldsymbol{\omega}\times\mathbf{r}_{i}			
311	0	angular acceleration	\mathbf{F}^{\prime}=\mathbf{F}-\mathbf{F}_{\mathrm{app}}			
311	0	angular acceleration	{\alpha}=\frac{\tau}{I}.			
311	0	angular acceleration	\mathbf{L}=\mathbf{r}\times\mathbf{p}			
311	0	angular acceleration	W=\frac{dA(t)}{dt}\cdot A^{-1}(t)			
311	0	angular acceleration	\zeta(t)=\dot{\alpha}(t)=\ddot{\omega}(t)=\overset{...}{\theta}(t)			
311	0	angular acceleration	\sin\theta=1.22\frac{\lambda}{D}			
311	0	angular acceleration	v_{\mathrm{p}}=\frac{\lambda}{T}.			
311	0	angular acceleration	\mbox{power}=\frac{\mbox{force}\times\mbox{linear distance}}{\mbox{time}}=%\frac{\left(\frac{\mbox{torque}}{\displaystyle{r}}\right)\times(r\times\mbox{%angular speed}\times t)}{t}=\mbox{torque}\times\mbox{angular speed}.			
312	0	angular frequency	n=1			
312	0	angular frequency	t=0			
312	1	angular frequency	\omega_{\mathrm{n}}^{2}=\frac{k}{m}\,			
312	0	angular frequency	\mathbf{V}_{i}=\mathbf{V}+\boldsymbol{\omega}\times\mathbf{r}_{i}			
312	0	angular frequency	v_{\mathrm{p}}=\frac{\lambda}{T}.			
312	0	angular frequency	\mathbf{L}=\mathbf{r}\times\mathbf{p}			
312	0	angular frequency	W=\frac{dA(t)}{dt}\cdot A^{-1}(t)			
312	0	angular frequency	\gamma=\frac{1}{\sqrt{1-\beta^{2}}}=\frac{1}{\sqrt{1-\left(\frac{v}{c}\right)^%{2}}}			
312	0	angular frequency	\frac{d^{2}\theta}{dt^{2}}=-\omega^{2}\theta			
312	0	angular frequency	\frac{\mathrm{d}\theta}{\mathrm{d}x}=k			
313	0	angular momentum	n=1			
313	2	angular momentum	\mathbf{L}=\mathbf{r}\times\mathbf{p}			
313	1	angular momentum	\scriptstyle\mathbf{L}=\hbar			
313	0	angular momentum	\boldsymbol{\tau}=\mathbf{0},			
313	1	angular momentum	\frac{d\mathbf{L}}{dt}=I\boldsymbol{\alpha}.			
313	0	angular momentum	\mathbf{V}_{i}=\mathbf{V}+\mathbf{v}_{i}.			
313	0	angular momentum	Fehler:509			
313	0	angular momentum	\sum_{i}\mathbf{R}\times m_{i}\mathbf{V}=\mathbf{R}\times\sum_{i}m_{i}\mathbf{%V}=\mathbf{R}\times M\mathbf{V},			
313	0	angular momentum	\mathbf{V}_{i}=\mathbf{V}+\boldsymbol{\omega}\times\mathbf{r}_{i}			
313	0	angular momentum	\ell=3			
314	1	angular velocity	\mathbf{V}_{i}=\mathbf{V}+\boldsymbol{\omega}\times\mathbf{r}_{i}			
314	0	angular velocity	n=1			
314	0	angular velocity	W=\frac{dA(t)}{dt}\cdot A^{-1}(t)			
314	1	angular velocity	\omega=\frac{|\mathrm{\mathbf{v}}|\sin(\theta)}{|\mathrm{\mathbf{r}}|}			
314	0	angular velocity	\frac{dA(t)}{dt}=W\cdot A(t)			
314	1	angular velocity	\boldsymbol{\omega}=[\omega_{x},\omega_{y},\omega_{z}]			
314	0	angular velocity	\boldsymbol{\omega}_{1}=\boldsymbol{\omega}_{2}			
314	0	angular velocity	\mathbf{F}^{\prime}=\mathbf{F}-\mathbf{F}_{\mathrm{app}}			
314	0	angular velocity	\mathrm{MA}=\frac{F_{B}}{F_{A}}=\frac{v_{A}}{v_{B}}.			
314	0	angular velocity	\ v_{2}=u_{2}			
315	0	center of mass	\ v_{\bar{x}}=\ v_{\bar{x}}^{\prime}			
315	0	center of mass	\gamma=\frac{1}{\sqrt{1-v^{2}/c^{2}}}			
315	1	center of mass	r_{\text{cm}}=\frac{m_{1}r_{1}+m_{2}r_{2}+\cdots}{m_{1}+m_{2}+\cdots}.			
315	0	center of mass	m\left({}^{A}_{Z}\mathrm{X}\right)c^{2}=m_{N}\left({}^{A}_{Z}\mathrm{X}\right)%c^{2}+Zm_{e}c^{2}-\sum_{i=1}^{Z}B_{i}			
315	1	center of mass	m_{\text{red}}=\frac{m_{\mathrm{e}}m_{\mathrm{p}}}{m_{\mathrm{e}}+m_{\mathrm{p%}}}=m_{\mathrm{e}}\frac{1}{1+m_{\mathrm{e}}/m_{\mathrm{p}}}			
315	0	center of mass	c=-1			
315	0	center of mass	Q=C_{\mathrm{th}}\Delta T\,			
315	0	center of mass	r_{1}m_{1}=r_{2}m_{2}			
315	0	center of mass	\mathbf{L}=\mathbf{R}\times m\mathbf{V}=I_{R}\boldsymbol{\omega}_{R}.			
315	0	center of mass	\mathbf{V}=\mathbf{0},			
316	0	centripetal acceleration	\mathbf{F}=m\mathbf{g}			
316	0	centripetal acceleration	g=-G\cdot M/r^{2}+\omega^{2}\cdot r			
316	1	centripetal acceleration	\mathbf{\bar{a}}=\frac{\Delta\mathbf{v}}{\Delta t}.			
316	0	centripetal acceleration	a\equiv\dot{v}=\dot{\beta}c			
316	1	centripetal acceleration	\boldsymbol{a}_{C}=-2\boldsymbol{\Omega\times v}=2\,\omega\,\begin{pmatrix}-v_%{u}\\0\\v_{e}\end{pmatrix}\ .			
316	0	centripetal acceleration	Fehler:501			
316	1	centripetal acceleration	\therefore v^{2}=v_{0}^{2}+2(\mathbf{a}\cdot(\mathbf{r}-\mathbf{r}_{0}))			
316	0	centripetal acceleration	\vec{F}=m\vec{a}.			
316	1	centripetal acceleration	\frac{d(r^{2}\dot{\theta})}{dt}=r(2\dot{r}\dot{\theta}+r\ddot{\theta})=ra_{%\theta}=0.			
