GoldID	Name	Formula	(Score,Rank)	DCG	nDCG
310	acceleration	t=0			
311	angular acceleration	r=0			
312	angular frequency	r=0			
313	angular momentum	r=0			
314	angular velocity	r=0			
315	center of mass	N=2			
316	centripetal acceleration	t=0			
317	centripetal force	L=50			
318	circumference	{\cal N}=1			
319	conservation of energy	N=2			
320	conservation of momentum	r=0			
321	damping	\epsilon=0.1			
322	dirac equation	N=2			
323	dirac equation in curved spacetime	N=2			
324	elastic energy	N=2			
325	electromagnetic force	D=2+1			
326	electrostatic force	L=50			
327	energy-momentum relation	{\cal N}=2			
328	escape velocity	c=1			
329	euler-lagrange equation	N=2			
330	force	L=50			
333	free fall	{\cal N}=4			
334	frequency	l=m=2			
335	friction	d=1			
336	galilean transformation	N=1			
337	generalized momentum	N=2			
338	gravitational acceleration	D=4			
339	gravitational force	D=4			
340	gravitational potential	N=1			
341	hamiltonian operator	N=2			
342	hamilton-jacobi equation	N=2			
343	hooke's law	T=0			
344	jerk	j=1			
345	kinetic energy	N=2			
346	lagrangian operator	N=1			
347	lorentz factor	N=2			
348	lorentz force	N=2			
349	lorentz transformation	N=1			
350	mass-energy equivalence	N=2			
351	mechanical impedance	N=2			
352	moment of inertia	t=0			
353	momentum	r=0			
354	newton's second law of motion	N=2			
355	newton's third law of motion	N=2			
356	oscillation	T=0			
357	pendulum	\gamma=3			
358	power	{\cal N}=2			
359	radial velocity	r=0			
360	rest energy	N=2			
361	rest mass	m=0			
362	rossby number	N=2			
363	speed	c=1			
364	speed of light	c=1			
365	sphere	N=2			
366	spherical pendulum	k=1			
367	stokes' law	T=0			
368	stress	N=2			
369	tangential acceleration	t=0			
370	tangential velocity	c=1			
371	torque	z=0			
372	uniform motion	N=2			
373	velocity	c=1			
374	wavenumber	k=aH			
375	work	N=2			
