GoldID	Score	Name	Formula	(Score,Rank)	DCG	nDCG
310	0	acceleration	t=0			
310	0	acceleration	k=0			
310	0	acceleration	w=-1			
310	0	acceleration	A=1/\ell			
310	0	acceleration	V=0			
310	0	acceleration	\gamma=1			
310	0	acceleration	p=8			
310	0	acceleration	x=-r_{2}			
310	0	acceleration	\sigma=\overline{\sigma_{S}}\hbar			
310	0	acceleration	S_{q}=0			
311	0	angular acceleration	r=0			
311	0	angular acceleration	t=0			
311	0	angular acceleration	J=0			
311	0	angular acceleration	D=4			
311	0	angular acceleration	l=0			
311	0	angular acceleration	L=0			
311	0	angular acceleration	m=0			
311	0	angular acceleration	\ell=0			
311	0	angular acceleration	D=5			
311	0	angular acceleration	k=0			
312	0	angular frequency	r=0			
312	0	angular frequency	D=4			
312	0	angular frequency	J=0			
312	0	angular frequency	m=0			
312	0	angular frequency	l=0			
312	0	angular frequency	l=m=2			
312	0	angular frequency	D=5			
312	0	angular frequency	L=0			
312	0	angular frequency	\ell=0			
312	0	angular frequency	t=0			
313	0	angular momentum	r=0			
313	0	angular momentum	J=0			
313	0	angular momentum	L=0			
313	0	angular momentum	D=4			
313	0	angular momentum	l=0			
313	0	angular momentum	m=0			
313	0	angular momentum	\ell=0			
313	0	angular momentum	p=0			
313	0	angular momentum	k=0			
313	0	angular momentum	N=1			
314	0	angular velocity	r=0			
314	0	angular velocity	c=1			
314	0	angular velocity	J=0			
314	0	angular velocity	D=4			
314	0	angular velocity	l=0			
314	0	angular velocity	m=0			
314	0	angular velocity	L=0			
314	0	angular velocity	\ell=0			
314	0	angular velocity	D=5			
314	0	angular velocity	k=1			
315	0	center of mass	N=2			
315	0	center of mass	m=0			
315	0	center of mass	r=0			
315	0	center of mass	n=1			
315	0	center of mass	T=0			
315	0	center of mass	t=0			
315	0	center of mass	D=4			
315	0	center of mass	{\cal N}=4			
315	0	center of mass	M=0			
315	0	center of mass	z=0			
316	0	centripetal acceleration	t=0			
316	0	centripetal acceleration	k=0			
316	0	centripetal acceleration	w=-1			
316	0	centripetal acceleration	A=1/\ell			
316	0	centripetal acceleration	V=0			
316	0	centripetal acceleration	\gamma=1			
316	0	centripetal acceleration	p=8			
316	0	centripetal acceleration	x=-r_{2}			
