Name 	 Score 	 Formula 																											
acceleration 	2	 {\displaystyle \omega ={\frac {d\phi }{dt}}={\frac {v_{\perp }}{r}}} 																											
acceleration 	0	 {\displaystyle {\frac {\lambda }{1+\lambda }}\nabla \cdot (\mathbf {\Sigma } _{i}\nabla v)=\chi (C_{m}{\frac {\partial v}{\partial t}}+I_{\text{ion}})} 																											
acceleration 	0	 {\displaystyle \%{\mbox{ difference}}=\left({\frac {r_{solute}-r_{solvent}}{r_{solvent}}}\right)\times 100\%\leq 15\%} 																											
acceleration 	0	 {\displaystyle RI={\frac {v_{systole}-v_{diastole}}{v_{systole}}}} 																											
acceleration 	0	 {\displaystyle \delta t=L\left({\frac {1}{v_{1}}}-{\frac {1}{v_{2}}}\right)\approx {\frac {Lc}{2p^{2}}}(m_{1}^{2}-m_{2}^{2})} 																											
acceleration 	0	 {\displaystyle \rho _{0}{\frac {\partial ^{2}\mathbf {u} }{\partial t^{2}}}=\left(\lambda +\mu \right)\mathbf {grad} \left(\mathrm {div} \	\mathbf {u} \right)+\mu \Delta \mathbf {u} +\mathbf {f} _{v}} 																										
acceleration 	0	 {\displaystyle v={V/\Delta t \over {A}}} 																											
acceleration 	1	 {\displaystyle \alpha ={\frac {dv_{\perp }}{dt}}} 																											
acceleration 	0	 {\displaystyle {\frac {\partial c}{\partial t}}=\nabla \cdot (D\nabla c)-\nabla \cdot ({\vec {v}}c)+R} 																											
acceleration 	0	 {\displaystyle X=\{X_{1},\ldots ,X_{n}\}isasetofvariables} 																											
acceleration 	0	 {\displaystyle r'(t)=r(t)-vt} 																											
acceleration 	0	 {\displaystyle m={\frac {(1+CurrencyDrainRatio)}{(CurrencyDrainRatio+DesiredReserveRatio)}}} 																											
acceleration 	0	 {\displaystyle v_{i}={\operatorname {d} [M\cdot ]/\operatorname {d} t}=2k_{d}f[I]} 																											
acceleration 	0	 {\displaystyle \mathbf {v} =v{\hat {\mathbf {u} }}_{t}} 																											
acceleration 	0	 {\displaystyle f_{r}=f_{t}\left({\frac {1+v/{c'}}{1-v/c'}}\right)} 																											
acceleration 	0	 {\displaystyle kvitjul} 																											
acceleration 	0	 {\displaystyle {Single-\ loss\ expectancy\ (SLE)}={Asset\ value\ (AV)\ }\times {\ Exposure\ factor\ (EF)}} 																											
acceleration 	0	 {\displaystyle k_{t}={\frac {t_{v}}{T_{N}}}={\frac {t_{N}-t_{NV}}{T_{N}}}} 																											
acceleration 	0	 {\displaystyle \rho _{0}\left({\frac {\partial {\vec {v}}}{\partial t}}+({\vec {v}}\cdot \nabla ){\vec {v}}\right)=-\nabla p+\eta \Delta {\vec {v}}+\rho (T){\vec {g}},} 																											
acceleration 	0	 {\displaystyle W_{v}(s+1)=W_{v}(s)+\theta (u,v,s)\cdot \alpha (s)\cdot (D(t)-W_{v}(s))} 																											
acceleration 	0	 {\displaystyle {\vec {x}}={\vec {p}}+s{\vec {u}}+t{\vec {v}}} 																											
acceleration 	0	 {\displaystyle P_{T}=\int \limits _{0}^{t}F_{thrust}(t^{\prime })dt^{\prime }=F_{ave}t} 																											
acceleration 	0	 {\displaystyle PI={\frac {v_{systole}-v_{diastole}}{v_{mean}}}} 																											
acceleration 	0	 {\displaystyle {\begin{array}{l}v_{n+1}=v_{n}+g\left(t_{n},x_{n}\right)\Delta t\\x_{n+1}=x_{n}+f\left(t_{n},v_{n+1}\right)\Delta t\end{array}}} 																											
acceleration 	0	 {\displaystyle TRevPAR=TotalRevenue/RoomsAvailable} 																											
acceleration 	0	 {\displaystyle v={\frac {s}{t}}} 																											
acceleration 	0	 {\displaystyle E={\frac {1}{2}}\rho Av^{3}t} 																											
acceleration 	0	 {\displaystyle \sum _{n=0}^{\infty }\phi _{n}(\alpha ,\beta )t^{n}=\exp \left[\sum _{n=1}^{\infty }{\frac {t^{n}}{n}}\left(u_{n}(\alpha )+v_{n}(\beta )-1\right)\right]} 																											
acceleration 	0	 {\displaystyle {\vec {s}}={\frac {d\,{\vec {\jmath }}}{dt}}={\frac {d^{2}{\vec {a}}}{dt^{2}}}={\frac {d^{3}{\vec {v}}}{dt^{3}}}={\frac {d^{4}{\vec {r}}}{dt^{4}}}} 																											
acceleration 	0	 {\displaystyle \mathrm {EG} ={\frac {w_{A}-w_{B}}{v_{tot}}}} 																											
acceleration 	0	 {\displaystyle v=s/t} 																											
acceleration 	0	 {\displaystyle \epsilon ={\tfrac {1}{2}}v^{2}-\mu /r=constant={\tfrac {1}{2}}C_{3}} 																											
acceleration 	0	 {\displaystyle v(t)=-gt+v_{0}} 																											
acceleration 	0	 {\displaystyle t'=\gamma \left(t-{\frac {vx}{c^{2}}}\right),x'=\gamma \left(x-vt\right)} 																											
