Name 	 Score 	 Formula 	 Identifier 
acceleration 	 0 	 \displaystyle \omega ={\frac {d\phi }{dt}}={\frac {v_{\perp }}{r}}	radial velocity 
acceleration 	 0 	 \displaystyle {\frac {\lambda }{1+\lambda }}\nabla \cdot (\mathbf {\Sigma } _{i}\nabla v)=\chi (C_{m}{\frac {\partial v}{\partial t}}+I_{\text{ion}})	Monodomain model 
acceleration 	 0 	 \displaystyle RI={\frac {v_{systole}-v_{diastole}}{v_{systole}}}	Arterial resistivity index 
acceleration 	 0 	 \displaystyle \delta t=L\left({\frac {1}{v_{1}}}-{\frac {1}{v_{2}}}\right)\approx {\frac {Lc}{2p^{2}}}(m_{1}^{2}-m_{2}^{2})	Time of flight detector 
acceleration 	 0 	 \displaystyle \%{\mbox{ difference}}=\left({\frac {r_{solute}-r_{solvent}}{r_{solvent}}}\right)\times 100\%\leq 15\%	Hume-Rothery rules 
acceleration 	 0 	 \displaystyle r'(t)=r(t)-vt	Galilean invariance 
acceleration 	 0 	 \displaystyle m={\frac {(1+CurrencyDrainRatio)}{(CurrencyDrainRatio+DesiredReserveRatio)}}	money multiplier 
acceleration 	 0 	 \displaystyle \rho _{0}\left({\frac {\partial {\vec {v}}}{\partial t}}+({\vec {v}}\cdot \nabla ){\vec {v}}\right)=-\nabla p+\eta \Delta {\vec {v}}+\rho (T){\vec {g}},	Boussinesq approximation 
acceleration 	 0 	 \displaystyle W_{v}(s+1)=W_{v}(s)+\theta (u,v,s)\cdot \alpha (s)\cdot (D(t)-W_{v}(s))	shellsort 
acceleration 	 0 	 \displaystyle {\vec {x}}={\vec {p}}+s{\vec {u}}+t{\vec {v}}	Q15839526 
acceleration 	 0 	 \displaystyle {\begin{array}{l}v_{n+1}=v_{n}+g\left(t_{n},x_{n}\right)\Delta t\\x_{n+1}=x_{n}+f\left(t_{n},v_{n+1}\right)\Delta t\end{array}}	Semi-implicit Euler method 
acceleration 	 0 	 \displaystyle TRevPAR=TotalRevenue/RoomsAvailable	TRevPAR 
acceleration 	 0 	 \displaystyle v=s/t	speed 
acceleration 	 0 	 \displaystyle \epsilon ={\tfrac {1}{2}}v^{2}-\mu /r=constant={\tfrac {1}{2}}C_{3}	characteristic energy 
acceleration 	 0 	 \displaystyle v(t)=-gt+v_{0}	free fall 
acceleration 	 0 	 \displaystyle k_{t}={\frac {t_{v}}{T_{N}}}={\frac {t_{N}-t_{NV}}{T_{N}}}	Q187089 
acceleration 	 0 	 \displaystyle t={\frac {\lambda }{c-v}}={\frac {c}{(c-v)f_{s}}}={\frac {1}{(1-\beta )f_{s}}}	Relativistic Doppler effect 
acceleration 	 0 	 \displaystyle t'=\gamma \left(t-{\frac {vx}{c^{2}}}\right),x'=\gamma \left(x-vt\right)	Lorentz transformation 
acceleration 	 0 	 \displaystyle {\frac {\partial {\vec {v}}}{\partial t}}+({\vec {v}}\cdot \nabla ){\vec {v}}=-{\frac {1}{\rho _{0}}}\nabla p+\nu \Delta {\vec {v}}-\beta T{\vec {g}},{\frac {\partial T}{\partial t}}+{\vec {v}}\cdot \nabla T=\chi \Delta T,\operatorname {div} {\vec {v}}=0.	Rayleigh–Bénard convection 
acceleration 	 0 	 \displaystyle \rho _{0}{\frac {\partial ^{2}\mathbf {u} }{\partial t^{2}}}=\left(\lambda +\mu \right)\mathbf {grad} \left(\mathrm {div} \;\mathbf {u} \right)+\mu \Delta \mathbf {u} +\mathbf {f} _{v}	Q2413370 
acceleration 	 0 	 \displaystyle v={\frac {s}{t}}	v = d/t 
acceleration 	 0 	 \displaystyle PI={\frac {v_{systole}-v_{diastole}}{v_{mean}}}	blood flow 
acceleration 	 0 	 \displaystyle {\frac {\partial (\rho Y_{i})}{\partial t}}+\nabla \cdot (\rho {\vec {v}}Y_{i})=-\nabla \cdot {\vec {J}}_{i}+R_{i}+S_{i}	chemical model 
acceleration 	 0 	 \displaystyle \mathrm {D} ={\frac {\partial }{\partial t}}+\nabla _{v}	material derivative 
acceleration 	 0 	 \displaystyle \operatorname {ec} (G)=t_{w}(G)\prod _{v\in V}{\bigl (}\deg(v)-1{\bigr )}	BEST theorem 
acceleration 	 0 	 \displaystyle \sum _{n=0}^{\infty }\phi _{n}(\alpha ,\beta )t^{n}=\exp \left[\sum _{n=1}^{\infty }{\frac {t^{n}}{n}}\left(u_{n}(\alpha )+v_{n}(\beta )-1\right)\right]	Spitzer's formula 
acceleration 	 0 	 \displaystyle {\vec {s}}={\frac {d\,{\vec {\jmath }}}{dt}}={\frac {d^{2}{\vec {a}}}{dt^{2}}}={\frac {d^{3}{\vec {v}}}{dt^{3}}}={\frac {d^{4}{\vec {r}}}{dt^{4}}}	snap 
acceleration 	 0 	 \displaystyle E={\frac {1}{2}}\rho Av^{3}t	Stokes wave 
acceleration 	 0 	 \displaystyle {\bar {\boldsymbol {v}}}(x,y,z,t)=v_{x}(x,y,z,t){\hat {\boldsymbol {i}}}+v_{y}(x,y,z,t){\hat {\boldsymbol {j}}}	two-dimensional flow 
acceleration 	 0 	 \displaystyle kvitjul	Q102454959 
acceleration 	 0 	 \displaystyle {Single-\ loss\ expectancy\ (SLE)}={Asset\ value\ (AV)\ }\times {\ Exposure\ factor\ (EF)}	single loss expectancy 
acceleration 	 0 	 \displaystyle X=\{X_{1},\ldots ,X_{n}\}isasetofvariables	tangent bundle 
acceleration 	 0 	 \displaystyle T(p)=\Box pforany[[propositionalvariable]]p	Modal companion 
acceleration 	 0 	 \displaystyle v={V/\Delta t \over {A}}	Air-to-cloth ratio 
acceleration 	 0 	 \displaystyle \alpha ={\frac {dv_{\perp }}{dt}}	tangential acceleration 
acceleration 	 0 	 \displaystyle v_{i}={\operatorname {d} [M\cdot ]/\operatorname {d} t}=2k_{d}f[I]	Radical polymerization 
acceleration 	 0 	 \displaystyle \mathbf {v} =v{\hat {\mathbf {u} }}_{t}	Orbital state vectors 
acceleration 	 0 	 \displaystyle f_{r}=f_{t}\left({\frac {1+v/{c'}}{1-v/c'}}\right)	Continuous-wave radar 
acceleration 	 0 	 \displaystyle P_{T}=\int \limits _{0}^{t}F_{thrust}(t^{\prime })dt^{\prime }=F_{ave}t	Model rocket motor classification 
acceleration 	 0 	 \displaystyle {\frac {\partial c}{\partial t}}=\nabla \cdot (D\nabla c)-\nabla \cdot ({\vec {v}}c)+R	convection–diffusion equation 
acceleration 	 0 	 \displaystyle \mathrm {EG} ={\frac {w_{A}-w_{B}}{v_{tot}}}	efficiency gap 
