GoldID,Query,Benchmark,Matches,"(Score, Rank)",Issue,exact match: 2 points
310,a,acceleration,-,-,,also relevant: 1 point
310,v,velocity,"speed, relative velocity, speed of light, velocity, effective exhaust velocity, particle velocity ","(1,3), (1,4), (1,7), (2,8), (1,9), (1,10)",,
310,t,duration,"coordinate time, time","(1,1), (1,8)",,
310,acceleration,a,a,"(2,1)",,
310,velocity,v,"V, u, v, v, u, V, u","(1,1), (1,2), (2,3), (2,4), (1,5), (1,6), (1,7)",,
310,duration,t,-,-,,
311,\alpha,angular acceleration,-,-,,
311,\omega,angular velocity,"angular velocity, frequency","(2,1), (1,2)",,
311,t,duration,"coordinate time, time","(1,1), (1,8)",,
311,angular acceleration,\alpha,-,-,,
311,angular velocity,\omega,angular velocity,"(2,1)",,
311,duration,t,-,-,,
312,\omega,angular frequency,"angular velocity, frequency","(1,1), (2,2)",,
312,\pi,\pi,-,-,,
312,f,frequency,frequency,"(2,25)",,
312,angular frequency,\omega,-,-,,
312,\pi,\pi,-,-,,
312,frequency,f,"\omega,f","(1,1), (2,2)",,
313,L,angular momentum,"operator, total angular momentum quantum number","(1,23), (1,24)",,
313,r,position vector,"radius, radii, characteristic length, distance, stokes radius","(1,2), (1,5), (1,6), (1,7), (1,14)",,
313,\times,cross product,-,-,,
313,p,momentum,"hamilton, momentum","(1,10), (2,13)",,
313,angular momentum,L,"L, S, J","(2,1), (1,2), (1,3)",,
313,position vector,r,"X, r, X","(1,1), (2,2), (1,3)",,
313,cross product,\times,-,-,,
313,momentum,p,"p, p","(2,1), (2,2)",,
314,\omega,angular velocity,"angular velocity, frequency","(2,1), (1,2)",,
314,\varphi,angular displacement,-,-,,
314,t,duration,"coordinate time, time, change","(1,1), (1,8), (1,14)",,
314,u,unit vector,-,-,utility?,
314,angular velocity,\omega,\omega,"(2,1)",,
314,angular displacement,\varphi,-,-,,
314,duration,t,-,-,,
314,unit vector,u,e,"(1,5)",GoldID: 371,
315,i,nominal number,-,-,,
315,m,mass,"effective mass, atomic mass, rest mass, mass","(1,4), (1,7), (1,9), (2,21)",,
315,r,position vector,"radius, radii, characteristic length, distance, stokes radius","(1,2), (1,5), (1,6), (1,7), (1,14)",,
315,R,center of mass,"radius, gyroradius","(1,7), (1,17)",,
