Name	Score	Candidates
acceleration	0	{'<': 3}
velocity	0	{'<': 7}
duration	2	{'t': 1, '<': 2}
angular acceleration	0	{'<': 2}
angular velocity	0	{'<': 3}
duration	2	{'t': 1, '<': 2}
angular frequency	2	{'ω': 1, '<': 2}
frequency	0	{'<': 4}
angular momentum	0	{'<': 2}
position vector	0	{'<': 1}
momentum	0	{'<': 2}
angular velocity	0	{'<': 3}
angular displacement	0	{'<': 3}
duration	2	{'t': 1, '<': 2}
mass	0	{'<': 1}
position vector	0	{'<': 1}
center of mass	0	{'<': 1}
centripetal acceleration	0	{'<': 1}
velocity	0	{'<': 7}
radius of curvature	0	{'<': 1}
force	0	{'<': 3}
mass	0	{'<': 1}
velocity	0	{'<': 7}
radius	0	{'<': 2}
circumference	0	{'<': 1}
diameter	0	{'<': 2}
radius	0	{'<': 2}
energy	0	{'<': 2}
momentum	0	{'<': 2}
mass	0	{'<': 1}
spring constant	0	{'<': 3}
reduced Planck constant	0	{'<': 2}
duration	2	{'t': 1, '<': 2}
speed of light	0	{'<': 2}
momentum	0	{'<': 2}
mass	0	{'<': 1}
mass	0	{'<': 1}
elastic energy	0	{'<': 1}
spring constant	0	{'<': 3}
linear strain	1	{'ε': 6, '<': 2}
Lorentz force	0	{'<': 1}
electric charge	2.26	{'Q': 1, 'q': 1, '<': 3}
velocity	0	{'<': 7}
force	0	{'<': 3}
electric charge	2.26	{'Q': 1, 'q': 1, '<': 3}
vacuum permittivity	0	{'<': 2}
distance	0	{'<': 3}
energy	0	{'<': 2}
momentum	0	{'<': 2}
speed of light	0	{'<': 2}
mass	0	{'<': 1}
gravitational constant	0	{'<': 3}
distance	0	{'<': 3}
gravitational acceleration	0	{'<': 4}
duration	2	{'t': 1, '<': 2}
generalized velocity	0	{'<': 2}
generalized coordinate	0	{'<': 1}
force	0	{'<': 3}
momentum	0	{'<': 2}
duration	2	{'t': 1, '<': 2}
momentum	0	{'<': 2}
energy	0	{'<': 2}
speed of light	0	{'<': 2}
velocity	0	{'<': 7}
velocity	0	{'<': 7}
gravitational acceleration	0	{'<': 4}
duration	2	{'t': 1, '<': 2}
frequency	0	{'<': 4}
period	0	{'<': 2}
friction	0	{'<': 1}
normal force	0	{'<': 4}
duration	2	{'t': 1, '<': 2}
velocity	0	{'<': 7}
displacement	0	{'<': 1}
generalized momentum	0	{'<': 2}
Lagrange function	0	{'<': 2}
generalized velocity	0	{'<': 2}
gravitational acceleration	0	{'<': 4}
gravitational constant	0	{'<': 3}
mass	0	{'<': 1}
radius	0	{'<': 2}
position vector	0	{'<': 1}
force	0	{'<': 3}
gravitational constant	0	{'<': 3}
mass	0	{'<': 1}
distance	0	{'<': 3}
potential	0	{'<': 1}
gravitational constant	0	{'<': 3}
mass	0	{'<': 1}
mass	0	{'<': 1}
distance	0	{'<': 3}
generalized coordinate	0	{'<': 1}
generalized momentum	0	{'<': 2}
duration	2	{'t': 1, '<': 2}
Lagrange function	0	{'<': 2}
generalized velocity	0	{'<': 2}
action	0	{'<': 2}
duration	2	{'t': 1, '<': 2}
Hamiltonian function	0	{'<': 2}
force	0	{'<': 3}
spring constant	0	{'<': 3}
linear strain	1	{'ε': 6, '<': 2}
jerk	0	{'<': 1}
acceleration	0	{'<': 3}
duration	2	{'t': 1, '<': 2}
kinetic energy	0	{'<': 4}
mass	0	{'<': 1}
speed	0	{'<': 4}
kinetic energy	0	{'<': 4}
potential energy	0	{'<': 6}
velocity	0	{'<': 7}
speed of light	0	{'<': 2}
Lorentz force	0	{'<': 1}
electric charge	2.26	{'Q': 1, 'q': 1, '<': 3}
velocity	0	{'<': 7}
time	2.63	{'t': 1, 'τ': 1}
velocity	0	{'<': 7}
speed of light	0	{'<': 2}
energy	0	{'<': 2}
mass	0	{'<': 1}
speed of light	0	{'<': 2}
mechanical impedance	0	{'<': 2}
acoustic impedance	0	{'<': 2}
area	0	{'<': 3}
moment of inertia	0	{'<': 3}
radial distance	0	{'<': 3}
mass	0	{'<': 1}
momentum	0	{'<': 2}
mass	0	{'<': 1}
velocity	0	{'<': 7}
force	0	{'<': 3}
mass	0	{'<': 1}
acceleration	0	{'<': 3}
force	0	{'<': 3}
linear strain	1	{'ε': 6, '<': 2}
angular velocity	0	{'<': 3}
duration	2	{'t': 1, '<': 2}
angular displacement	0	{'<': 3}
duration	2	{'t': 1, '<': 2}
gravitational acceleration	0	{'<': 4}
length	1	{'L': 1, '<': 2}
power	0	{'<': 2}
energy	0	{'<': 2}
duration	2	{'t': 1, '<': 2}
radial velocity	0	{'<': 1}
duration	2	{'t': 1, '<': 2}
velocity	0	{'<': 7}
radius	0	{'<': 2}
rest energy	0	{'<': 2}
rest mass	0	{'<': 3}
speed of light	0	{'<': 2}
mass	0	{'<': 1}
speed of light	0	{'<': 2}
energy	0	{'<': 2}
momentum	0	{'<': 2}
Rossby number	0	{'<': 2}
speed	0	{'<': 4}
characteristic length	0	{'<': 2}
Earth's angular frequency	0	{'<': 1}
latitude	2	{'ϕ': 1, '<': 2}
speed	0	{'<': 4}
distance	0	{'<': 3}
duration	2	{'t': 1, '<': 2}
speed of light	0	{'<': 2}
frequency	0	{'<': 4}
wavelength	0	{'<': 2}
radius	0	{'<': 2}
linear strain	1	{'ε': 6, '<': 2}
wavenumber	0	{'<': 3}
angular velocity	0	{'<': 3}
duration	2	{'t': 1, '<': 2}
dynamic viscosity	0	{'<': 2}
radius	0	{'<': 2}
flow velocity	0	{'<': 1}
force	0	{'<': 3}
area	0	{'<': 3}
angular acceleration	0	{'<': 2}
velocity	0	{'<': 7}
duration	2	{'t': 1, '<': 2}
velocity	0	{'<': 7}
angular velocity	0	{'<': 3}
radius	0	{'<': 2}
torque	0	{'<': 3}
moment of force	0	{'<': 2}
displacement	0	{'<': 1}
velocity	0	{'<': 7}
duration	2	{'t': 1, '<': 2}
velocity	0	{'<': 7}
position vector	0	{'<': 1}
duration	2	{'t': 1, '<': 2}
wavenumber	0	{'<': 3}
wavelength	0	{'<': 2}
work	0	{'<': 4}
force	0	{'<': 3}
position vector	0	{'<': 1}
sum(DCG)	49	
DCG	49/195=	
	0,251282051282051	
	195: total number of catalog hits	
DCG	51/249=	
	0,204819277108434	
	249: total number of symbols in benchmark	
No. relevant	31	195-164 (0s)
Top1 Acc. / hits	0,158974358974359	
Top1 Acc. / benchmark	0,124497991967871	
