Symbol	Score	Candidates
t	2.63	{'duration': 1, 'time': 1}
t	2.63	{'duration': 1, 'time': 1}
L	0	"{'median lethal dose (LD50)': 1, 'median lethal concentration (LC50)': 2, 'length': 1, 'median lethal dose': 1, ""Spence's function"": 1, 'minimal lethal concentration': 1, 'median lethal concentration': 1}"
r	0	{'sound pressure reflection coefficient': 1}
p	0	{'atmospheric pressure': 1, 'focal parameter': 1}
t	2.63	{'duration': 1, 'time': 1}
m	0	{'Exhaust gas mass flow': 1}
r	0	{'sound pressure reflection coefficient': 1}
r	0	{'sound pressure reflection coefficient': 1}
m	0	{'Exhaust gas mass flow': 1}
r	0	{'sound pressure reflection coefficient': 1}
r	0	{'sound pressure reflection coefficient': 1}
C	0	{'median lethal concentration (LC50)': 1}
d	0	{'penny size': 1}
r	0	{'sound pressure reflection coefficient': 1}
E	0	{'half maximal effective concentration': 1, 'Erdős–Borwein constant': 1}
p	0	{'atmospheric pressure': 1, 'focal parameter': 1}
m	0	{'Exhaust gas mass flow': 1}
k	0	{'permeability': 1, 'reaction rate constant': 1}
t	2.63	{'duration': 1, 'time': 1}
p	0	{'atmospheric pressure': 1, 'focal parameter': 1}
m	0	{'Exhaust gas mass flow': 1}
e	0	{'essential supremum': 1, 'essential infimum': 1}
D	0	{'median lethal dose (LD50)': 1, 'Damköhler numbers': 1}
m	0	{'Exhaust gas mass flow': 1}
k	0	{'permeability': 1, 'reaction rate constant': 1}
x	0	{'abscissa': 1}
q	2	{'electric charge': 1}
E	0	{'half maximal effective concentration': 1, 'Erdős–Borwein constant': 1}
B	0	{'Bodenstein number': 1}
q	2	{'electric charge': 1}
r	0	{'sound pressure reflection coefficient': 1}
r	0	{'sound pressure reflection coefficient': 1}
E	0	{'half maximal effective concentration': 1, 'Erdős–Borwein constant': 1}
p	0	{'atmospheric pressure': 1, 'focal parameter': 1}
m	0	{'Exhaust gas mass flow': 1}
e	0	{'essential supremum': 1, 'essential infimum': 1}
M	0	{'minimum inhibitory concentration': 1, 'minimum bactericidal concentration': 1, 'Laval number': 1, 'bimoment': 1, 'minimum explosive concentration': 1}
r	0	{'sound pressure reflection coefficient': 1}
t	2.63	{'duration': 1, 'time': 1}
L	0	"{'median lethal dose (LD50)': 1, 'median lethal concentration (LC50)': 2, 'length': 1, 'median lethal dose': 1, ""Spence's function"": 1, 'minimal lethal concentration': 1, 'median lethal concentration': 1}"
q	0	{'electric charge': 1}
q	0	{'electric charge': 1}
p	0	{'atmospheric pressure': 1, 'focal parameter': 1}
t	2.63	{'duration': 1, 'time': 1}
p	0	{'atmospheric pressure': 1, 'focal parameter': 1}
E	0	{'half maximal effective concentration': 1, 'Erdős–Borwein constant': 1}
t	2.63	{'duration': 1, 'time': 1}
T	0	{'temperature': 1}
t	2.63	{'duration': 1, 'time': 1}
x	1	{'abscissa': 1}
y	1	{'ordinate': 1}
p	1	{'atmospheric pressure': 1, 'focal parameter': 1}
L	0	"{'median lethal dose (LD50)': 1, 'median lethal concentration (LC50)': 2, 'length': 1, 'median lethal dose': 1, ""Spence's function"": 1, 'minimal lethal concentration': 1, 'median lethal concentration': 1}"
q	2	{'electric charge': 1}
M	0	{'minimum inhibitory concentration': 1, 'minimum bactericidal concentration': 1, 'Laval number': 1, 'bimoment': 1, 'minimum explosive concentration': 1}
r	0	{'sound pressure reflection coefficient': 1}
m	0	{'Exhaust gas mass flow': 1}
r	0	{'sound pressure reflection coefficient': 1}
M	0	{'minimum inhibitory concentration': 1, 'minimum bactericidal concentration': 1, 'Laval number': 1, 'bimoment': 1, 'minimum explosive concentration': 1}
m	0	{'Exhaust gas mass flow': 1}
r	0	{'sound pressure reflection coefficient': 1}
q	2	{'electric charge': 1}
p	0	{'atmospheric pressure': 1, 'focal parameter': 1}
t	2.63	{'duration': 1, 'time': 1}
L	0	"{'median lethal dose (LD50)': 1, 'median lethal concentration (LC50)': 2, 'length': 1, 'median lethal dose': 1, ""Spence's function"": 1, 'minimal lethal concentration': 1, 'median lethal concentration': 1}"
q	2	{'electric charge': 1}
S	0	{'specific storage': 1}
t	2.63	{'duration': 1, 'time': 1}
