Mode;Query;Top1 Acc.;mean(DCG)
1;names to symbols, arXiv;0.23699421965317918;0.8428619452633946
2;names to symbols, Wikipedia;0.305630026809651;0.922786397627467
3;names to symbols, Wikdata;0.124497991967871;0.204819277108434
4;symbols to names, arXiv;0.39267015706806285;0.8134621442544655
5;symbols to names, Wikipedia;0.117142857142857;0.54473691452954
6;symbols to names, Wikdata;0.216;0.204
;;;
;mean(names to symbols);0.226709339592507;0.652172899411238
;mean(symbols to names);0.250582502768549;0.532334841732882
;mean(arXiv);0.334302325581395;0.838590317083459
;mean(Wikipedia);0.211386441976254;0.733761656078503
;mean(Wikidata);0.170248995983936;0.204409638554217
